Name	X	Y	Source	Mg	Al	Si	P	S	Cl	K	Ca	Ti	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Sr	Ba	Pb	Hg	Tl	Rb	Ga	Zr	Bi	Na	W	Nd	Pr	Sc	V	Au	Se	Ge	sluda	smektit	hlorit	kaolinit	ceolit	kvarc	kps	plagioklaz	rogovaa_obmanka	gips
NV2	42,477273	43,23179	NV_left_slope	0,12	3,24	101,4		0,36	1,41	2,81	1,8	0,33	0,03	0,16	5,41		0,015	0,06	0,8	0,02	0,6	1,04	0,12		0,17			0,09	0,18								0,07		16	0	7	0		53	4	20	0	
NV3	42,475269	43,232179	NV_left_slope	1,34	3,11	246,2	0,14	0,07	1,02	2,47	3,9	0,16		0,4	13,5	0,23	0,02		0,9	0,01	0,2	1,6	0,22																11	1	2	0		65	7	13	0	
NV4	42,474556	43,232372	NV_left_slope	0,96	2,73	262,1		0,05		1,88	2	0,23		0,7	8,4				0,8	0,09	0,3	0,87	0,07						0,18										52	1	5	4		24	3	11	0	
NV5	42,464446	43,237523	NV_moraine	0,64	8,38	191,8				8,73	5,5	0,32	0,1	1,1	6,5	0,3	0,1	1,3	1,4		0,3	1,2	0,06	0,06		0,05													14	0	4	2		40	15	25	0	
NV6	42,464853	43,236863	NV_moraine	0,92	7,71	226,9		0,4	0,05	6,82	7,7	0,51		1,1	5,81	0,06		2	1,4		0,4	1,8	0,09					0,13											12	0	1	0		57	10	18	0	
NV7	42,467249	43,235874	NV_moraine	0,78	5,94	237,2				4,38	2,7	0,31	0,2	1,1	9,82	0,1		1,3	1	0,03	0,6	2,3	0,17			0,06	0,03	0,11											24	3	3	0		39	15	14	1	
NV8	42,468365	43,233658	NV_right_slope	1,65	7,78	244,3	0,02	0,15		5,21	6,9	0,59	0,2	2,1	7,73	0,08	0,05	1,6	1,6	0,03	0,3	1,2	0,07				0,03										0,05		27	5	9	0		32	5	21	1	
NV9	42,471519	43,232047	NV_right_slope	0,2	3,11	306,7	0,03			0,56	1,17	0,6	0,1	0,5	1,64			0,5	0,5	0,02	0,7	1,3	0,08		0,07	0,03			0,07										6	0	4	0		69	6	13	0	
DAP1	42,492564	43,221875	Mix	0,8	8,61	248,4	0,14	0,16	0,07	7,42	0,63	0,17	0,3	0,6	2,34	0,03	0,02	1	1,2		0,3	1,5	0,7					0,14								0,11			18	0	1	0		60	5	16	0	
DAP2	42,495645	43,222166	Seven	0,34	8,75	258,3				6,61	0,43	0,28	0,1	0,3	2,63				0,2		0,4	2,5	0,8			0,05					0,03							0,015	21	1	2	0		58	2	15	0	
DAP3	42,495595	43,22188	Seven	0,17	4,25	203,7	0,1			6,29	0,22	0,18	0,1	0,2	1,35			1	2		0,3	1,31		0,03		0,05	0,02	0,05			0,05								22	0	1	0		61	2	14	0	
DAP4	42,495238	43,221716	Seven	0,86	11,77	219,5			0,83	8,68	0,28	1,08	0,2	0,18	7,42				1,6	0,01	0,1	1,22	0,13																19	0	5	0		49	6	21	0	
DAP5	42,494917	43,221516	Seven	0,52	11,94	307,2				2,78	7,15	0,16	0,1	1,2	2,19		0,01	1,3	1		0,6	1,4	0,07	0,08				0,08									0,02		22	1	4	0		46	6	21	0	
DAP6	42,494281	43,221173	Seven	0,73	7,09	282,4		0,5	0,11	7,24	1,26	0,73		0,7	6,18				1,4		0,3	1,6	0,1					0,13											11	0	2	0		49	21	16	0	
DAP7	42,490669	43,220964	Mix	0,72	10,58	264,5			0,46	8,82	1,4	0,35	0,4	0,9	3,72		0,02		1,1	0,02	0,4	0,28	0,09						0,11		0,16								7	1	4	0		58	12	17	0	
DAP8	42,492106	43,221525	Mix	0,31	6,63	276,6				1,25	2,83	0,3		0,3	0,38	0,02	0,01		1	0,01	0,2	0,6	0,07			0,02		0,03											29	0	1	1		50	6	12	0	
DAP9	42,493272	43,223559	Mix	1,59	12,28	232,9		0,36		8,52	0,47	0,12	0,05	0,17	14,65			1,2	0,9	0,02	0,5	0,8				0,08													17	0	4	0		41	17	20	0	
DAP10	42,493332	43,224273	Mix	2,38	3,78	200,6				3,71	1,9	1,37	0,09	0,18	8,9	0,09			1,4		0,5	0,2	0,07	0,13													0,03		8	0	4	0		63	9	16	0	
																																																
